#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score
12	NM_001080616	chr1	+	29279647	29506754	29279747	29506699	45	29279647,29280116,29281823,29282061,29283602,29283719,29285209,29285452,29285625,29288941,29291721,29296327,29299365,29299533,29304836,29314099,29314226,29314637,29324329,29328674,29356072,29356393,29359045,29362574,29362698,29371817,29372155,29374209,29374701,29374866,29376740,29376911,29379341,29382658,29396996,29401048,29408496,29408841,29414227,29435127,29446479,29451379,29466707,29478870,29506555,	29279819,29280185,29281954,29282158,29283635,29283774,29285334,29285539,29285693,29289095,29291781,29296435,29299446,29299704,29304911,29314135,29314317,29314684,29324419,29328721,29356295,29356483,29359097,29362617,29362771,29371937,29372227,29374329,29374758,29374949,29376825,29377010,29379431,29382705,29397147,29401138,29408679,29408923,29414310,29435208,29446649,29451548,29466761,29478951,29506754,	0
13	NM_001130605	chr1	+	36693514	36720180	36694347	36720160	11	36693514,36694345,36699919,36701707,36706998,36707408,36710001,36713080,36713409,36719827,36720131,	36693593,36694401,36699982,36702601,36707101,36707530,36710122,36713217,36713558,36719976,36720180,	0
13	NM_152965	chr1	-	37698137	37818921	37698944	37818709	9	37698137,37707102,37708977,37721359,37726525,37747371,37767115,37773650,37818638,	37699220,37707252,37709192,37721497,37726608,37747595,37767183,37773778,37818921,	0
13	NM_001077559	chr1	+	39844744	39851536	39844867	39850279	4	39844744,39849631,39849893,39850136,	39844931,39849703,39849974,39851536,	0
14	NM_001145564	chr1	-	49279575	49288214	49279589	49288122	5	49279575,49282246,49283031,49285724,49287683,	49279768,49282414,49283193,49286378,49288214,	0
14	NM_001077556	chr1	+	47140386	47321023	47140705	47320823	18	47140386,47143249,47143597,47146282,47149344,47152731,47159199,47173437,47175771,47188928,47192012,47220238,47226856,47257768,47257955,47278558,47285240,47320681,	47140741,47143510,47143746,47146439,47149539,47152869,47159359,47173520,47175963,47189090,47192159,47220379,47227080,47257880,47258060,47278678,47285374,47321023,	0
15	NM_001113805	chr1	+	56278122	56833288	56278122	56833288	13	56278122,56278207,56278242,56403929,56404005,56408976,56463117,56463290,56465562,56477686,56496080,56833060,56833092,	56278176,56278219,56278291,56403990,56404032,56408984,56463235,56463360,56465588,56477789,56496193,56833088,56833288,	0
15	NM_001111238	chr1	-	54513498	54532968	54513972	54532862	6	54513498,54517545,54518275,54520005,54521253,54532730,	54514106,54517770,54518452,54520175,54521477,54532968,	0
15	NM_131243	chr1	+	55560377	55597430	55560391	55597238	41	55560377,55561672,55561980,55566025,55566463,55567620,55569655,55570437,55571332,55571527,55573669,55573961,55574258,55574522,55574764,55576435,55576812,55577853,55578099,55578276,55579486,55579797,55579990,55580637,55580950,55581163,55581417,55581587,55584937,55586209,55587096,55587239,55588462,55590237,55590434,55591705,55592268,55592439,55594219,55594599,55597096,	55560462,55561865,55562146,55566099,55566552,55567703,55569767,55570540,55571453,55571643,55573825,55574165,55574450,55574675,55574894,55576507,55577010,55577959,55578188,55578419,55579693,55579858,55580074,55580841,55581026,55581323,55581513,55581744,55585101,55586368,55587156,55587330,55588508,55590328,55590524,55591811,55592358,55592520,55594303,55594735,55597430,	0
73	NM_131564	chr1	-	622619	661641	626194	661514	16	622619,626385,626837,629360,630497,631368,633502,634406,635027,638054,639608,640490,640820,642179,643089,661454,	626296,626532,626920,629414,630693,631499,633661,634481,635161,638222,639817,640681,640933,642309,643257,661641,	0
73	NM_173228	chr1	+	127257	134079	127263	133723	8	127257,128804,129072,130897,131178,131859,132323,133112,	127324,128968,129097,131011,131316,131957,132444,134079,	0
73	NM_001145612	chr1	-	523673	529254	523701	527427	4	523673,525234,526989,529044,	523948,525458,527447,529254,	0
74	NM_131686	chr1	+	1564374	1583770	1564550	1583556	22	1564374,1569548,1569756,1569897,1570200,1570404,1570619,1570818,1571166,1573391,1573690,1573959,1574207,1574740,1575311,1575559,1575796,1576263,1576495,1576705,1583114,1583527,	1564562,1569668,1569816,1570101,1570314,1570539,1570737,1571087,1571475,1573526,1573889,1574135,1574344,1574891,1575480,1575717,1575917,1576409,1576626,1576807,1583206,1583770,	0
74	NM_001161671	chr1	+	1953746	2068591	1981663	2066401	6	1953746,1981175,2042907,2053665,2057872,2066386,	1954002,1981714,2043162,2053822,2057967,2068591,	0
74	NM_001161669	chr1	+	1953746	2068591	1981663	2066401	7	1953746,1981175,2042907,2053269,2053665,2057872,2066386,	1954002,1981714,2043162,2053323,2053822,2057967,2068591,	0
74	NM_001161670	chr1	+	1953746	2068591	1981663	2066401	9	1953746,1981175,2037707,2038341,2042907,2053269,2053665,2057872,2066386,	1954002,1981837,2037872,2038542,2043162,2053323,2053822,2057967,2068591,	0
74	NM_001099998	chr1	+	1953746	2068591	1981663	2066401	8	1953746,1981175,2037707,2038341,2042907,2053665,2057914,2066386,	1954002,1981837,2037872,2038542,2043162,2053822,2057967,2068591,	0
75	NM_001109719	chr1	+	2565161	2704973	2565410	2704973	3	2565161,2674008,2704807,	2565572,2674401,2704973,	0
75	NM_001302236	chr1	-	2747369	2875169	2747369	2875169	6	2747369,2751967,2806769,2868163,2871632,2874478,	2747458,2752118,2806890,2868289,2871772,2875169,	0
77	NM_200691	chr1	+	4704678	4721311	4704875	4721250	4	4704678,4716474,4718034,4720275,	4704878,4716697,4718183,4721311,	0
77	NM_212965	chr1	-	4908654	5048297	4910538	5047687	17	4908654,4915190,4929613,4933531,4933994,4940906,4943175,4953383,4955079,4956629,4973863,4977562,4980802,4983242,5009239,5030775,5047614,	4910843,4915250,4929646,4933625,4934254,4941068,4943259,4953528,4955429,4956774,4974019,4977732,4980958,4983473,5009421,5030953,5048297,	0
78	NM_001020643	chr1	-	5705570	5796397	5707433	5796168	4	5705570,5718127,5731241,5796066,	5707485,5718251,5731824,5796397,	0
78	NM_001143751	chr1	+	6133577	6241401	6133577	6241391	25	6133577,6154295,6176692,6179211,6181006,6181341,6185954,6186733,6187481,6189297,6192385,6194685,6196969,6200117,6200830,6204164,6204390,6205311,6225965,6226847,6228221,6233134,6233352,6234913,6240549,	6133731,6154482,6176828,6179330,6181148,6181455,6186081,6186807,6187572,6189497,6192518,6194779,6197124,6200162,6200963,6204287,6204489,6205497,6226121,6226923,6228368,6233232,6233523,6235214,6241401,	0
78	NM_001080014	chr1	+	5492177	5512940	5492241	5512454	9	5492177,5495124,5498403,5501204,5504138,5505454,5506272,5509146,5511756,	5492468,5495228,5498434,5501334,5504223,5505592,5506361,5509282,5512940,	0
79	NM_001102569	chr1	-	7163644	7210144	7163821	7205533	16	7163644,7166526,7167082,7168991,7175345,7175616,7177376,7180438,7183388,7188100,7188411,7190399,7193824,7204998,7209602,7210010,	7163921,7166666,7167222,7169397,7175536,7175767,7177549,7180703,7183504,7188258,7188449,7191080,7194105,7205569,7209933,7210144,	0
80	NM_001039066	chr1	-	7989962	8007810	7989962	8007810	15	7989962,7990746,7990970,7994586,7994855,7995298,7998018,7998386,8000880,8001589,8002321,8004888,8005490,8005689,8007637,	7990110,7990799,7991060,7994741,7994980,7995388,7998170,7998529,8000964,8001741,8002479,8005044,8005608,8005749,8007810,	0
80	NM_001013300	chr1	-	7855798	7869180	7855974	7868958	21	7855798,7856123,7859170,7859379,7859574,7860308,7860482,7861108,7862443,7863021,7863165,7864380,7865281,7865503,7865647,7865879,7866162,7867993,7868190,7868846,7869076,	7856037,7856172,7859293,7859492,7859679,7860389,7860590,7861188,7862660,7863064,7863219,7864539,7865401,7865557,7865770,7866066,7866319,7868087,7868296,7868959,7869180,	0
80	NM_001320491	chr1	-	7731871	7744649	7734613	7744597	4	7731871,7738310,7740523,7744495,	7734832,7738456,7740758,7744649,	0
81	NM_001110102	chr1	+	8514926	8543090	8515044	8542852	22	8514926,8517390,8518953,8519162,8519478,8521546,8521676,8522349,8523176,8523361,8523571,8525381,8525565,8525735,8527209,8530377,8532249,8533926,8538590,8539561,8541331,8542721,	8515132,8517558,8519074,8519388,8519571,8521599,8521815,8522562,8523274,8523485,8523711,8525475,8525664,8525866,8527333,8530602,8532399,8534057,8538735,8539678,8541395,8543090,	0
81	NM_001312897	chr1	-	8775907	8802018	8776800	8801799	17	8775907,8780082,8780810,8781756,8781933,8783054,8783459,8785525,8786189,8787896,8790012,8791308,8792025,8793416,8794887,8799649,8801656,	8776883,8780129,8780925,8781830,8782036,8783172,8783518,8785692,8786241,8788063,8790339,8791734,8792156,8793565,8795029,8799698,8802018,	0
81	NR_132439	chr1	-	8775898	8801969	8801969	8801969	19	8775898,8780082,8780810,8781756,8781933,8783054,8783459,8785525,8785777,8786189,8787896,8790012,8791308,8792025,8793416,8794887,8799649,8801656,8801935,	8776883,8780129,8780925,8781830,8782036,8783172,8783518,8785692,8785987,8786241,8788063,8790339,8791734,8792156,8793565,8795029,8799698,8801854,8801969,	0
82	NM_001326687	chr1	-	10140239	10391294	10140639	10391164	78	10140239,10144427,10150610,10157019,10163502,10165771,10169166,10171820,10174635,10174888,10177085,10179495,10182051,10189044,10191432,10193868,10209187,10209461,10213162,10216790,10217146,10220023,10221628,10227988,10229978,10230207,10232038,10233940,10234203,10234482,10241851,10244628,10245972,10246277,10246727,10248412,10248787,10250583,10250926,10256905,10259104,10260732,10262381,10264081,10264622,10265635,10266359,10266627,10268346,10268621,10274102,10274548,10279539,10279930,10280699,10282430,10285430,10289776,10301883,10302465,10304301,10309337,10309742,10313416,10313779,10317220,10317418,10317655,10327762,10332321,10332827,10336695,10337091,10340426,10344491,10345266,10347750,10391082,	10140737,10144520,10150731,10157263,10163661,10165837,10169232,10171859,10174772,10175000,10177252,10179653,10182137,10189246,10191507,10193930,10209248,10209537,10213309,10217059,10217264,10220180,10221801,10228178,10230133,10230419,10232156,10234107,10234285,10234563,10242001,10244760,10246120,10246453,10246851,10248558,10248898,10250754,10251079,10257040,10259221,10260903,10262504,10264261,10264793,10265791,10266533,10266738,10268508,10268774,10274237,10274731,10279710,10280086,10280813,10282643,10285576,10289957,10302125,10302553,10304425,10309510,10309922,10313524,10313881,10317340,10317569,10317837,10327954,10332456,10333006,10336814,10337264,10340519,10344569,10345359,10347812,10391294,	0
82	NM_152956	chr1	+	9694596	9764519	9694731	9763869	12	9694596,9727480,9738517,9748337,9748670,9752513,9753811,9755817,9756032,9757945,9758177,9763831,	9695171,9727593,9738643,9748457,9748840,9752655,9753883,9755948,9756180,9758083,9758243,9764519,	0
82	NM_001327747	chr1	-	9801981	9893834	9802770	9893826	10	9801981,9805440,9805751,9812020,9814162,9825851,9833343,9835253,9878878,9893439,	9803646,9805530,9805793,9812233,9814358,9826174,9833483,9835590,9879400,9893834,	0
82	NM_001044827	chr1	-	9825465	9936234	9825847	9893826	7	9825465,9833343,9835253,9878878,9893439,9935865,9936119,	9826174,9833483,9835590,9879400,9893834,9936042,9936234,	0
83	NM_001037387	chr1	-	11098844	11163318	11098963	11162797	15	11098844,11101783,11103544,11107851,11111665,11111846,11112023,11116588,11118077,11121946,11122219,11127605,11145234,11162671,11163131,	11099137,11101859,11103724,11107988,11111758,11111939,11112079,11116664,11118150,11122042,11122440,11127717,11145404,11162818,11163318,	0
83	NM_001079986	chr1	-	11215778	11286541	11224896	11286271	17	11215778,11220917,11224895,11226042,11226284,11231125,11231419,11235045,11238367,11247896,11248860,11253898,11260164,11260419,11260962,11268306,11286219,	11216269,11221012,11225076,11226180,11226422,11231334,11231509,11235083,11238558,11248037,11248924,11253991,11260265,11260497,11261075,11268402,11286541,	0
83	NM_200471	chr1	+	11381999	11411007	11382611	11404534	9	11381999,11382604,11382872,11384785,11385120,11387588,11390213,11403655,11410966,	11382077,11382789,11382983,11384891,11385286,11387706,11390305,11404540,11411007,	0
84	NM_213045	chr1	+	11661458	11675130	11661519	11674588	7	11661458,11665840,11668136,11668342,11670482,11673353,11674416,	11661706,11665869,11668254,11668454,11670536,11673389,11675130,	0
85	NM_001002542	chr1	-	13476963	13547563	13477465	13547302	19	13476963,13480099,13482728,13483137,13490026,13492036,13501492,13503835,13504589,13504794,13505127,13506993,13509208,13509739,13510297,13515245,13515384,13543646,13547240,	13477469,13480328,13482823,13483213,13490075,13492081,13501533,13503878,13504673,13504917,13505222,13507077,13509311,13509812,13510363,13515300,13515444,13543741,13547563,	0
86	NR_002876	chr1	-	13745540	13767921	13767921	13767921	6	13745540,13752443,13755364,13765893,13767319,13767830,	13746005,13752609,13755779,13765972,13767474,13767921,	0
87	NM_001020560	chr1	+	15387373	15527298	15441311	15527189	9	15387373,15441308,15451674,15459867,15460622,15497525,15499225,15523390,15527173,	15387494,15441479,15451818,15460008,15460712,15497589,15499300,15523481,15527298,	0
88	NM_001017793	chr1	-	15982326	15996028	15982693	15995937	11	15982326,15982393,15982550,15982971,15983172,15986730,15986961,15988560,15992851,15995648,15995878,	15982377,15982478,15982730,15983082,15983264,15986835,15987076,15988618,15992974,15995716,15996028,	0
89	NM_001024376	chr1	-	17028915	17042926	17029456	17042885	7	17028915,17031383,17032023,17032292,17032560,17035236,17042792,	17029625,17031495,17032157,17032480,17032636,17035388,17042926,	0
89	NM_131393	chr1	-	17558400	17643941	17558921	17643712	2	17558400,17643528,	17559790,17643941,	0
89	NM_001170942	chr1	-	17670895	17753224	17671040	17753224	11	17670895,17675294,17680338,17682683,17684670,17691519,17706370,17711004,17712755,17728239,17752661,	17671097,17675466,17680551,17682846,17684895,17691706,17706583,17711201,17712892,17728422,17753224,	0
90	NM_001145577	chr1	+	18272812	18373390	18273032	18373216	22	18272812,18304547,18305609,18306076,18309017,18309130,18309320,18314224,18341420,18341640,18343381,18353393,18354720,18362517,18365536,18365700,18367292,18368493,18368841,18372573,18372753,18373190,	18273134,18304618,18305679,18306183,18309048,18309241,18309522,18314456,18341553,18341798,18343853,18353700,18354839,18362631,18365629,18365906,18367390,18368602,18368928,18372682,18372856,18373390,	0
90	NM_001166048	chr1	-	18430672	18522399	18430672	18522399	33	18430672,18431160,18435008,18435700,18437420,18437631,18439868,18444266,18448148,18451932,18454541,18459823,18464065,18464290,18466272,18468920,18469450,18470984,18476203,18476785,18486124,18486656,18489210,18489701,18495445,18495677,18498831,18500348,18502495,18512742,18516413,18516742,18522311,	18430741,18431296,18435163,18435826,18437547,18437810,18440154,18444421,18448268,18452108,18454665,18459921,18464181,18464302,18466433,18469130,18469544,18471241,18476301,18477439,18486242,18486683,18489404,18490004,18495587,18495820,18499413,18500618,18502606,18512928,18516555,18516888,18522399,	0
90	NM_178295	chr1	+	18741260	18773516	18741350	18773121	20	18741260,18742758,18744480,18746878,18747130,18747346,18750994,18751203,18751468,18751635,18753401,18753639,18761432,18761662,18761869,18765029,18765989,18768790,18769003,18772929,	18741367,18742818,18744629,18746970,18747220,18747464,18751108,18751322,18751551,18751742,18753549,18753715,18761571,18761757,18761983,18765170,18766223,18768900,18769268,18773516,	0
90	NM_212886	chr1	-	18086230	18110982	18087704	18110855	13	18086230,18091551,18091766,18092052,18094641,18095406,18095664,18096272,18098540,18098840,18104454,18106503,18110780,	18087807,18091685,18091956,18092182,18094735,18095590,18095762,18096462,18098734,18098924,18104646,18106671,18110982,	0
92	NM_214810	chr1	-	20173920	20218341	20177989	20218197	9	20173920,20178167,20181031,20181273,20185114,20185692,20185942,20193962,20217956,	20178088,20178286,20181131,20181413,20185297,20185810,20186110,20194159,20218341,	0
92	NM_131010	chr1	-	20040164	20133086	20041259	20131421	22	20040164,20043093,20045968,20048928,20059566,20066361,20066680,20070625,20070842,20071576,20073918,20074153,20074432,20077745,20077965,20080534,20095559,20095757,20099846,20107037,20131243,20132874,	20041394,20043344,20046182,20049056,20059692,20066542,20066841,20070751,20071038,20071722,20074035,20074256,20074548,20077870,20078071,20080713,20095677,20095928,20099927,20107148,20131678,20133086,	0
92	NM_131894	chr1	-	20640601	20716941	20643186	20716752	16	20640601,20643182,20644919,20648638,20651451,20652103,20652909,20653195,20659095,20659286,20659588,20662817,20663022,20675045,20716329,20716679,	20640644,20643432,20645034,20648886,20651650,20652471,20653116,20653303,20659200,20659454,20659747,20662871,20663219,20675285,20716470,20716941,	0
92	NM_001102391	chr1	-	20549898	20594445	20549898	20594445	2	20549898,20593719,	20550315,20594445,	0
93	NM_131638	chr1	+	21032883	21122617	21033367	21122617	11	21032883,21044380,21052040,21055841,21060296,21076450,21097407,21105735,21114206,21117906,21122534,	21033413,21044546,21052238,21055906,21060422,21076551,21097537,21105837,21114293,21117993,21122617,	0
94	NM_200992	chr1	-	22632558	22679781	22632968	22678889	33	22632558,22639160,22639573,22639741,22640197,22640345,22641068,22641383,22641634,22643634,22643843,22644127,22644285,22646431,22646700,22646952,22647718,22649223,22649444,22650467,22650677,22650907,22651135,22651386,22651583,22651789,22652044,22652212,22652422,22652713,22652989,22678766,22679653,	22632972,22639498,22639649,22639893,22640266,22640465,22641201,22641498,22641839,22643758,22643980,22644196,22644444,22646555,22646861,22647058,22647834,22649363,22649493,22650549,22650791,22651059,22651281,22651481,22651699,22651930,22652125,22652339,22652520,22652800,22653193,22678928,22679781,	0
95	NM_131735	chr1	+	23094165	23217966	23094165	23217966	36	23094165,23095274,23097689,23104217,23158114,23158642,23160256,23162426,23162957,23167347,23167510,23170561,23172103,23174107,23176792,23179264,23179432,23179832,23182769,23183206,23183574,23184581,23186071,23186316,23188375,23188934,23192619,23198072,23198823,23206632,23206869,23207191,23211801,23212106,23212574,23217721,	23094323,23095346,23097761,23104289,23158186,23158714,23160328,23162590,23163090,23167419,23167582,23170633,23172247,23174271,23176943,23179339,23179576,23179976,23182936,23183339,23183643,23184653,23186143,23186388,23188539,23189059,23192717,23198212,23198917,23206770,23207110,23207322,23211956,23212395,23212783,23217966,	0
95	NM_001013446	chr1	-	23829673	23866438	23830127	23866428	13	23829673,23832308,23832550,23833094,23835332,23836299,23841084,23845119,23849746,23849945,23861379,23863932,23866264,	23830253,23832443,23832629,23833228,23835525,23836344,23841169,23845233,23849869,23850144,23861493,23864083,23866438,	0
95	NM_001020773	chr1	-	23703343	23771862	23703490	23771715	20	23703343,23703625,23705206,23707442,23707823,23710320,23711122,23712105,23712384,23714430,23714869,23715712,23720260,23720472,23724078,23759972,23760521,23760661,23765326,23771639,	23703507,23703812,23705250,23707669,23707894,23710451,23711198,23712249,23712453,23714671,23714910,23715801,23720374,23721384,23724256,23760105,23760567,23760702,23765366,23771862,	0
96	NM_213368	chr1	-	24751880	24795615	24752237	24776053	8	24751880,24755522,24757594,24760400,24762323,24770309,24775960,24795507,	24752393,24755697,24757752,24760622,24762436,24770412,24776059,24795615,	0
96	NM_001014371	chr1	-	24631615	24679452	24632258	24654156	12	24631615,24633584,24635535,24636313,24636992,24637300,24640624,24645525,24646502,24649364,24654022,24679286,	24632411,24633725,24635606,24636482,24637160,24637404,24641351,24645706,24646654,24649599,24654201,24679452,	0
96	NM_001003597	chr1	+	24487276	24523927	24487331	24523192	8	24487276,24490373,24490581,24492457,24496442,24496612,24517866,24523040,	24487334,24490439,24490639,24492606,24496517,24496727,24517911,24523927,	0
97	NM_199643	chr1	+	25933116	25960597	25933118	25959538	11	25933116,25942118,25944268,25947162,25950245,25951842,25952054,25955361,25955592,25957258,25959406,	25933319,25942235,25944418,25947342,25950362,25951947,25952151,25955474,25955683,25957542,25960597,	0
97	NM_200554	chr1	+	25417309	25434229	25417354	25433874	8	25417309,25425589,25425888,25426067,25429798,25429990,25433592,25433835,	25417378,25425676,25425947,25426235,25429901,25430230,25433715,25434229,	0
97	NM_201116	chr1	-	26047004	26088799	26047632	26088697	9	26047004,26047956,26054311,26055263,26057297,26058532,26058772,26068177,26088652,	26047829,26048075,26054415,26055422,26057431,26058676,26058845,26068246,26088799,	0
98	NM_001327752	chr1	+	26418732	26515985	26419999	26514708	6	26418732,26419846,26465949,26475686,26502136,26513942,	26419049,26420101,26466052,26475922,26504445,26515985,	0
98	NM_001327751	chr1	+	26330353	26515985	26330698	26514708	6	26330353,26419846,26465949,26475686,26502136,26513942,	26330701,26420101,26466052,26475922,26504445,26515985,	0
98	NM_001327750	chr1	+	26359295	26515985	26359388	26514708	6	26359295,26419846,26465949,26475686,26502136,26513942,	26359526,26420101,26466052,26475922,26504445,26515985,	0
98	NM_001045258	chr1	+	27115201	27167436	27115328	27167012	9	27115201,27132277,27132667,27132879,27133346,27148567,27164024,27165353,27166799,	27115682,27132579,27132763,27133076,27133431,27148673,27164082,27165481,27167436,	0
99	NM_201115	chr1	-	27374080	27395910	27374268	27395866	9	27374080,27377668,27377931,27386616,27387549,27395118,27395304,27395475,27395636,	27374416,27377776,27378090,27386699,27387699,27395223,27395386,27395547,27395910,	0
99	NM_203427	chr1	-	28155890	28241591	28158998	28241334	7	28155890,28160120,28160803,28161105,28175244,28182588,28241270,	28159151,28160186,28160877,28161274,28175401,28182775,28241591,	0
99	NM_001017828	chr1	-	28032153	28057811	28032278	28057373	8	28032153,28032514,28044304,28044531,28052775,28053000,28057152,28057734,	28032426,28032625,28044383,28044599,28052864,28053163,28057380,28057811,	0
100	NM_001002746	chr1	+	29058153	29149815	29058177	29148970	23	29058153,29060257,29064757,29065012,29068695,29069222,29087913,29092648,29092779,29095670,29096701,29096942,29102514,29104043,29105517,29105661,29105816,29109717,29112184,29120270,29136032,29141787,29148901,	29058231,29060329,29064805,29065081,29068809,29069276,29088045,29092685,29092858,29095773,29096796,29097093,29102658,29104118,29105586,29105737,29106030,29109820,29112283,29120324,29136173,29141865,29149815,	0
100	NM_001114714	chr1	-	28804196	28849544	28804356	28849264	5	28804196,28806141,28814317,28831554,28849104,	28804892,28806269,28814579,28831803,28849544,	0
100	NM_001045411	chr1	-	29150758	29235400	29150864	29235184	4	29150758,29186840,29193633,29234728,	29151325,29187033,29193789,29235400,	0
100	NM_200522	chr1	+	28962783	28993976	28965432	28993428	21	28962783,28965423,28966351,28966563,28966782,28967347,28967579,28968090,28968360,28968680,28971525,28975262,28977508,28979639,28982228,28982420,28985749,28988616,28991303,28991675,28993251,	28962922,28965570,28966461,28966678,28966894,28967475,28967624,28968269,28968561,28968833,28971887,28975718,28977715,28980129,28982338,28983659,28986298,28988760,28991504,28991839,28993976,	0
101	NM_001080561	chr1	-	29736045	29764294	29736617	29764139	10	29736045,29736254,29737297,29742964,29744955,29745659,29753598,29755441,29759190,29764108,	29736219,29736725,29737426,29743219,29745003,29745783,29753705,29755561,29759318,29764294,	0
101	NM_001024392	chr1	+	30142300	30170234	30142318	30170151	10	30142300,30151925,30152169,30152431,30158598,30158749,30161025,30162453,30162600,30170072,	30142358,30152092,30152319,30152580,30158641,30158913,30161123,30162501,30162679,30170234,	0
101	NM_001045236	chr1	-	29781580	29885073	29781878	29884809	11	29781580,29785313,29790170,29802219,29802458,29814548,29815584,29818002,29837033,29845147,29884306,	29781916,29785379,29790314,29802367,29802604,29814683,29815720,29818175,29837159,29845263,29885073,	0
101	NM_213083	chr1	+	29618287	29634105	29618330	29633123	5	29618287,29625554,29625830,29630602,29632893,	29618485,29625705,29625992,29630741,29634105,	0
102	NM_213243	chr1	+	30925311	30939776	30925448	30939459	9	30925311,30925424,30927360,30928317,30928519,30930237,30932237,30934797,30939097,	30925334,30925569,30927658,30928441,30928843,30930411,30932366,30934966,30939776,	0
103	NM_001166331	chr1	+	31795528	31959138	31795528	31959138	5	31795528,31844576,31922622,31936119,31958249,	31795991,31844729,31922808,31936909,31959138,	0
104	NM_001079980	chr1	-	32622830	32647420	32623899	32647265	15	32622830,32624420,32625151,32633776,32633940,32640074,32641470,32642067,32642508,32642885,32643150,32643313,32643539,32647204,32647371,	32623928,32624471,32625259,32633797,32633976,32640155,32641518,32642100,32642532,32642927,32643180,32643364,32643584,32647269,32647420,	0
105	NM_001098260	chr1	+	34462541	34501016	34464835	34487908	8	34462541,34464507,34464807,34467847,34471432,34479835,34487819,34500390,	34462581,34464571,34464905,34468180,34471762,34480117,34487925,34501016,	0
